
2024/04/21 (14:06:19) | ===> btop++ v.1.3.2
2024/04/21 (14:06:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/22 (23:50:10) | ===> btop++ v.1.3.2
2024/04/22 (23:50:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/23 (00:18:58) | ===> btop++ v.1.3.2
2024/04/23 (00:18:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/25 (00:15:48) | ===> btop++ v.1.3.2
2024/04/25 (00:15:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (01:02:21) | ===> btop++ v.1.3.2
2024/04/27 (01:02:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/27 (10:46:25) | ===> btop++ v.1.3.2
2024/04/27 (10:46:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/02 (20:30:03) | ===> btop++ v.1.3.2
2024/05/02 (20:30:03) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/05/03 (14:18:17) | ===> btop++ v.1.3.2
2024/05/03 (14:18:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/03 (14:27:03) | ===> btop++ v.1.3.2
2024/05/03 (14:27:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/18 (10:26:43) | ===> btop++ v.1.3.2
2024/05/18 (10:26:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/18 (10:27:00) | ERROR: Stall in Runner thread, restarting!
2024/05/18 (10:27:05) | ERROR: Stall in Runner thread, restarting!

2024/06/10 (00:07:10) | ===> btop++ v.1.3.2
2024/06/10 (00:07:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (00:14:53) | ===> btop++ v.1.3.2
2024/06/10 (00:14:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (00:15:05) | ===> btop++ v.1.3.2
2024/06/10 (00:15:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (00:27:12) | ===> btop++ v.1.3.2
2024/06/10 (00:27:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (20:36:04) | ===> btop++ v.1.3.2
2024/06/10 (20:36:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (20:37:48) | ===> btop++ v.1.3.2
2024/06/10 (20:37:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (20:39:37) | ===> btop++ v.1.3.2
2024/06/10 (20:39:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/10 (20:42:39) | ===> btop++ v.1.3.2
2024/06/10 (20:42:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (18:10:22) | ===> btop++ v.1.3.2
2024/06/11 (18:10:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (02:25:02) | ===> btop++ v.1.3.2
2024/06/12 (02:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
