2024-06-12 15:24:31.492 [info] /home/j/.config/Code - OSS/User/settings.json closed
2024-06-12 15:24:32.863 [info] Configuration changed
2024-06-12 15:25:07.742 [info] /home/j/--ozone-platform-hint=wayland closed
2024-06-12 15:25:09.954 [info] /home/j/.config/Code - OSS/User/settings.json closed
2024-06-12 15:25:11.075 [info] Configuration changed
2024-06-12 15:25:12.613 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:13.706 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:26.019 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:25:26.791 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:29.789 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:29.933 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:30.320 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:30.465 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:33.736 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:33.878 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:34.450 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:34.600 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:41.365 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:41.389 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:41.441 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:25:41.901 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:25:42.117 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:25:42.307 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:25:42.473 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:25:42.928 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:47.413 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:47.654 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W0sZmlsZQ%3D%3D
2024-06-12 15:25:51.089 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:25:51.246 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:52.326 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:25:52.876 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:25:53.763 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:25:54.902 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X10sZmlsZQ%3D%3D
2024-06-12 15:25:56.548 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:57.584 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X10sZmlsZQ%3D%3D
2024-06-12 15:25:57.758 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:25:57.785 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:25:58.742 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:25:58.909 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:25:58.914 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:25:59.070 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:26:01.626 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:26:01.748 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:02.597 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:26:02.752 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
2024-06-12 15:26:03.171 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:26:03.276 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:03.725 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:26:04.059 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:26:04.521 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X10sZmlsZQ%3D%3D
2024-06-12 15:26:04.664 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:04.669 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:26:04.817 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X12sZmlsZQ%3D%3D
2024-06-12 15:26:04.993 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X13sZmlsZQ%3D%3D
2024-06-12 15:26:05.368 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X14sZmlsZQ%3D%3D
2024-06-12 15:26:06.620 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W5sZmlsZQ%3D%3D
2024-06-12 15:26:06.768 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W4sZmlsZQ%3D%3D
2024-06-12 15:26:06.934 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W3sZmlsZQ%3D%3D
2024-06-12 15:26:07.103 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#X11sZmlsZQ%3D%3D
2024-06-12 15:26:07.107 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W2sZmlsZQ%3D%3D
2024-06-12 15:26:07.263 [info] Active editor: vscode-notebook-cell:/home/j/dsc/prj/logistic%20regression%20sonar/rockormine.ipynb#W1sZmlsZQ%3D%3D
